threshold,tp,fp,fn,tn,precision,recall,f1_score,accuracy
24.8959,1,0,79,0,1.000000,0.012500,0.024691,0.012500
26.9456,3,0,77,0,1.000000,0.037500,0.072289,0.037500
28.9952,5,0,75,0,1.000000,0.062500,0.117647,0.062500
31.0449,8,0,72,0,1.000000,0.100000,0.181818,0.100000
33.0945,17,0,63,0,1.000000,0.212500,0.350515,0.212500
35.1442,24,0,56,0,1.000000,0.300000,0.461538,0.300000
37.1939,31,0,49,0,1.000000,0.387500,0.558559,0.387500
39.2435,38,0,42,0,1.000000,0.475000,0.644068,0.475000
41.2932,47,0,33,0,1.000000,0.587500,0.740157,0.587500
43.3428,58,0,22,0,1.000000,0.725000,0.840580,0.725000
45.3925,63,0,17,0,1.000000,0.787500,0.881119,0.787500
47.4422,65,0,15,0,1.000000,0.812500,0.896552,0.812500
49.4918,68,0,12,0,1.000000,0.850000,0.918919,0.850000
51.5415,73,0,7,0,1.000000,0.912500,0.954248,0.912500
53.5911,75,0,5,0,1.000000,0.937500,0.967742,0.937500
55.6408,77,0,3,0,1.000000,0.962500,0.980892,0.962500
57.6905,77,0,3,0,1.000000,0.962500,0.980892,0.962500
59.7401,78,0,2,0,1.000000,0.975000,0.987342,0.975000
61.7898,78,0,2,0,1.000000,0.975000,0.987342,0.975000
63.8394,79,0,1,0,1.000000,0.987500,0.993711,0.987500
65.8891,80,0,0,0,1.000000,1.000000,1.000000,1.000000
