threshold,tp,fp,fn,tn,precision,recall,f1_score,accuracy
0.0000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.0500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.1000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.1500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.2000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.2500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.3000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.3500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.4000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.4500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.5000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.5500,80,6316,0,4,0.012508,1.000000,0.024707,0.013125
0.6000,80,6283,0,37,0.012573,1.000000,0.024833,0.018281
0.6500,80,6190,0,130,0.012759,1.000000,0.025197,0.032813
0.7000,75,5923,5,397,0.012504,0.937500,0.024679,0.073750
0.7500,70,5400,10,920,0.012797,0.875000,0.025225,0.154688
0.8000,59,4510,21,1810,0.012913,0.737500,0.025382,0.292031
0.8500,38,3108,42,3212,0.012079,0.475000,0.023559,0.507812
0.9000,24,1420,56,4900,0.016620,0.300000,0.031496,0.769375
0.9500,3,133,77,6187,0.022059,0.037500,0.027778,0.967187
1.0000,0,0,80,6320,0.000000,0.000000,0.000000,0.987500
