threshold,tp,fp,fn,tn,precision,recall,f1_score,accuracy
0.0000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.0500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.1000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.1500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.2000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.2500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.3000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.3500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.4000,80,6319,0,1,0.012502,1.000000,0.024695,0.012656
0.4500,80,6313,0,7,0.012514,1.000000,0.024718,0.013594
0.5000,79,6280,1,40,0.012423,0.987500,0.024538,0.018594
0.5500,79,6157,1,163,0.012668,0.987500,0.025016,0.037812
0.6000,76,5917,4,403,0.012681,0.950000,0.025029,0.074844
0.6500,71,5487,9,833,0.012774,0.887500,0.025186,0.141250
0.7000,64,4775,16,1545,0.013226,0.800000,0.026022,0.251406
0.7500,47,3800,33,2520,0.012217,0.587500,0.023937,0.401094
0.8000,36,2630,44,3690,0.013503,0.450000,0.026220,0.582187
0.8500,21,1386,59,4934,0.014925,0.262500,0.028245,0.774219
0.9000,8,408,72,5912,0.019231,0.100000,0.032258,0.925000
0.9500,0,17,80,6303,0.000000,0.000000,0.000000,0.984844
1.0000,0,0,80,6320,0.000000,0.000000,0.000000,0.987500
