threshold,tp,fp,fn,tn,precision,recall,f1_score,accuracy
0.0000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.0500,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.1000,80,6320,0,0,0.012500,1.000000,0.024691,0.012500
0.1500,80,6317,0,3,0.012506,1.000000,0.024703,0.012969
0.2000,80,6300,0,20,0.012539,1.000000,0.024768,0.015625
0.2500,80,6240,0,80,0.012658,1.000000,0.025000,0.025000
0.3000,74,6064,6,256,0.012056,0.925000,0.023802,0.051562
0.3500,71,5781,9,539,0.012133,0.887500,0.023938,0.095312
0.4000,66,5367,14,953,0.012148,0.825000,0.023943,0.159219
0.4500,64,4925,16,1395,0.012828,0.800000,0.025252,0.227969
0.5000,61,4422,19,1898,0.013607,0.762500,0.026737,0.306094
0.5500,56,3958,24,2362,0.013951,0.700000,0.027357,0.377812
0.6000,50,3450,30,2870,0.014286,0.625000,0.027933,0.456250
0.6500,45,2913,35,3407,0.015213,0.562500,0.029625,0.539375
0.7000,35,2356,45,3964,0.014638,0.437500,0.028329,0.624844
0.7500,26,1825,54,4495,0.014046,0.325000,0.026929,0.706406
0.8000,25,1292,55,5028,0.018983,0.312500,0.035791,0.789531
0.8500,24,774,56,5546,0.030075,0.300000,0.054670,0.870313
0.9000,20,357,60,5963,0.053050,0.250000,0.087527,0.934844
0.9500,11,78,69,6242,0.123596,0.137500,0.130178,0.977031
1.0000,0,0,80,6320,0.000000,0.000000,0.000000,0.987500
