REPORTE DETALLADO - METODO: demucs_crepe
==================================================
ID 01 | LCS: 0.8167 | Rank: 58 | DTW: 45.6876
ID 02 | LCS: 0.7414 | Rank: 41 | DTW: 55.1400
ID 03 | LCS: 0.8466 | Rank:  9 | DTW: 52.5824
ID 04 | LCS: 0.9395 | Rank:  6 | DTW: 49.0965
ID 05 | LCS: 0.8908 | Rank: 11 | DTW: 39.6682
ID 06 | LCS: 0.7153 | Rank: 54 | DTW: 80.8654
ID 07 | LCS: 0.7597 | Rank: 73 | DTW: 35.4885
ID 08 | LCS: 0.7674 | Rank: 75 | DTW: 64.0442
ID 09 | LCS: 0.8293 | Rank: 59 | DTW: 31.2073
ID 10 | LCS: 0.8933 | Rank: 31 | DTW: 80.9874
ID 11 | LCS: 0.8608 | Rank: 45 | DTW: 47.9970
ID 12 | LCS: 0.8720 | Rank: 28 | DTW: 32.1697
ID 13 | LCS: 0.7279 | Rank: 75 | DTW: 47.2873
ID 14 | LCS: 0.9008 | Rank: 12 | DTW: 37.1450
ID 15 | LCS: 0.9153 | Rank: 13 | DTW: 37.1766
ID 16 | LCS: 0.8583 | Rank: 14 | DTW: 48.4293
ID 17 | LCS: 0.7795 | Rank: 70 | DTW: 62.8821
ID 18 | LCS: 0.8195 | Rank: 30 | DTW: 43.9193
ID 19 | LCS: 0.6921 | Rank: 79 | DTW: 66.9035
ID 20 | LCS: 0.7877 | Rank: 63 | DTW: 51.6854
ID 21 | LCS: 0.8671 | Rank: 30 | DTW: 46.7690
ID 22 | LCS: 0.7111 | Rank: 29 | DTW: 53.2127
ID 23 | LCS: 0.8889 | Rank:  2 | DTW: 39.5173
ID 24 | LCS: 0.8897 | Rank: 19 | DTW: 33.8904
ID 25 | LCS: 0.9636 | Rank:  1 | DTW: 60.7122
ID 26 | LCS: 0.7375 | Rank: 78 | DTW: 53.9055
ID 27 | LCS: 0.9010 | Rank: 28 | DTW: 39.3697
ID 28 | LCS: 0.9483 | Rank: 10 | DTW: 54.2325
ID 29 | LCS: 0.7714 | Rank: 67 | DTW: 38.9121
ID 30 | LCS: 0.6643 | Rank: 77 | DTW: 50.2538
ID 31 | LCS: 0.7615 | Rank: 36 | DTW: 35.8362
ID 32 | LCS: 0.8092 | Rank: 55 | DTW: 41.0039
ID 33 | LCS: 0.8854 | Rank: 28 | DTW: 64.8356
ID 34 | LCS: 0.8647 | Rank: 40 | DTW: 47.7637
ID 35 | LCS: 0.8745 | Rank: 14 | DTW: 61.3543
ID 36 | LCS: 0.7451 | Rank: 60 | DTW: 46.0865
ID 37 | LCS: 0.9189 | Rank:  5 | DTW: 89.0181
ID 38 | LCS: 0.8462 | Rank: 53 | DTW: 46.2347
ID 39 | LCS: 0.8538 | Rank: 15 | DTW: 44.9648
ID 40 | LCS: 0.6916 | Rank: 80 | DTW: 40.9025
ID 41 | LCS: 0.8727 | Rank: 22 | DTW: 41.7225
ID 42 | LCS: 0.8075 | Rank: 57 | DTW: 51.7500
ID 43 | LCS: 0.9007 | Rank: 27 | DTW: 53.2159
ID 44 | LCS: 0.9241 | Rank:  9 | DTW: 34.2852
ID 45 | LCS: 0.9101 | Rank: 24 | DTW: 78.7250
ID 46 | LCS: 0.6533 | Rank: 61 | DTW: 51.3345
ID 47 | LCS: 0.9450 | Rank:  1 | DTW: 36.4244
ID 48 | LCS: 0.9176 | Rank: 21 | DTW: 56.8780
ID 49 | LCS: 0.8487 | Rank:  7 | DTW: 54.3386
ID 50 | LCS: 0.9185 | Rank: 20 | DTW: 64.1960
ID 51 | LCS: 0.8372 | Rank: 59 | DTW: 47.5121
ID 52 | LCS: 0.9163 | Rank: 14 | DTW: 21.8222
