REPORTE DETALLADO - METODO: ensemble
==================================================
ID 01 | LCS: 0.7955 | Rank: 71 | DTW: 41.9271
ID 02 | LCS: 0.7862 | Rank: 69 | DTW: 45.9928
ID 03 | LCS: 0.8113 | Rank: 20 | DTW: 37.9408
ID 04 | LCS: 0.9645 | Rank:  2 | DTW: 39.9909
ID 05 | LCS: 0.8435 | Rank: 42 | DTW: 35.6689
ID 06 | LCS: 0.8514 | Rank: 19 | DTW: 63.4818
ID 07 | LCS: 0.7751 | Rank: 72 | DTW: 30.8029
ID 08 | LCS: 0.8798 | Rank: 42 | DTW: 35.8097
ID 09 | LCS: 0.8838 | Rank: 49 | DTW: 39.4010
ID 10 | LCS: 0.9260 | Rank: 28 | DTW: 47.9211
ID 11 | LCS: 0.9421 | Rank: 16 | DTW: 44.6080
ID 12 | LCS: 0.8409 | Rank: 23 | DTW: 23.7406
ID 13 | LCS: 0.7443 | Rank: 76 | DTW: 36.0602
ID 14 | LCS: 0.9527 | Rank:  3 | DTW: 36.0924
ID 15 | LCS: 0.8382 | Rank: 59 | DTW: 33.0431
ID 16 | LCS: 0.8580 | Rank: 18 | DTW: 29.1971
ID 17 | LCS: 0.8497 | Rank: 42 | DTW: 41.2988
ID 18 | LCS: 0.8307 | Rank: 22 | DTW: 35.3045
ID 19 | LCS: 0.7202 | Rank: 79 | DTW: 42.8930
ID 20 | LCS: 0.8329 | Rank: 37 | DTW: 37.7670
ID 21 | LCS: 0.8728 | Rank: 28 | DTW: 39.8448
ID 22 | LCS: 0.6865 | Rank: 55 | DTW: 34.7490
ID 23 | LCS: 0.8037 | Rank: 25 | DTW: 41.0980
ID 24 | LCS: 0.9103 | Rank:  6 | DTW: 24.0330
ID 25 | LCS: 0.8875 | Rank: 25 | DTW: 35.9693
ID 26 | LCS: 0.7507 | Rank: 72 | DTW: 30.3297
ID 27 | LCS: 0.9307 | Rank: 23 | DTW: 22.6647
ID 28 | LCS: 0.8865 | Rank: 45 | DTW: 31.8823
ID 29 | LCS: 0.7204 | Rank: 75 | DTW: 43.5318
ID 30 | LCS: 0.6779 | Rank: 77 | DTW: 46.5157
ID 31 | LCS: 0.6750 | Rank: 57 | DTW: 41.4364
ID 32 | LCS: 0.8296 | Rank: 59 | DTW: 36.0533
ID 33 | LCS: 0.7775 | Rank: 72 | DTW: 50.2548
ID 34 | LCS: 0.8053 | Rank: 61 | DTW: 32.8613
ID 35 | LCS: 0.7657 | Rank: 59 | DTW: 31.1056
ID 36 | LCS: 0.6495 | Rank: 77 | DTW: 33.9418
ID 37 | LCS: 0.9381 | Rank:  3 | DTW: 39.6230
ID 38 | LCS: 0.8466 | Rank: 64 | DTW: 31.3643
ID 39 | LCS: 0.7665 | Rank: 22 | DTW: 38.6947
ID 40 | LCS: 0.9085 | Rank:  9 | DTW: 28.0466
ID 41 | LCS: 0.9122 | Rank: 14 | DTW: 35.6791
ID 42 | LCS: 0.8070 | Rank: 67 | DTW: 41.7951
ID 43 | LCS: 0.9226 | Rank: 30 | DTW: 49.0988
ID 44 | LCS: 0.7781 | Rank: 70 | DTW: 36.0832
ID 45 | LCS: 0.9231 | Rank:  9 | DTW: 47.0580
ID 46 | LCS: 0.7175 | Rank: 36 | DTW: 45.6080
ID 47 | LCS: 0.9471 | Rank:  5 | DTW: 38.9926
ID 48 | LCS: 0.9347 | Rank: 12 | DTW: 37.5976
ID 49 | LCS: 0.7508 | Rank: 10 | DTW: 40.8097
ID 50 | LCS: 0.8759 | Rank: 47 | DTW: 53.5591
ID 51 | LCS: 0.7830 | Rank: 72 | DTW: 39.7554
ID 52 | LCS: 0.9133 | Rank: 15 | DTW: 32.2851
ID 53 | LCS: 0.9665 | Rank:  4 | DTW: 45.6511
ID 54 | LCS: 0.8000 | Rank: 62 | DTW: 30.9769
ID 55 | LCS: 0.8580 | Rank: 56 | DTW: 35.3193
ID 56 | LCS: 0.8012 | Rank: 39 | DTW: 25.5869
ID 57 | LCS: 0.7339 | Rank: 64 | DTW: 52.8369
ID 58 | LCS: 0.8121 | Rank: 21 | DTW: 41.7386
ID 59 | LCS: 0.7919 | Rank: 69 | DTW: 40.2652
ID 60 | LCS: 0.8176 | Rank: 36 | DTW: 34.4550
ID 61 | LCS: 0.7310 | Rank: 79 | DTW: 33.6386
ID 62 | LCS: 0.7907 | Rank: 62 | DTW: 40.8458
ID 63 | LCS: 0.9346 | Rank:  8 | DTW: 29.0454
ID 64 | LCS: 0.8827 | Rank: 34 | DTW: 41.7334
ID 65 | LCS: 0.8065 | Rank: 17 | DTW: 40.9308
ID 66 | LCS: 0.8724 | Rank: 37 | DTW: 47.6864
ID 67 | LCS: 0.9096 | Rank: 24 | DTW: 65.1478
ID 68 | LCS: 0.9547 | Rank:  9 | DTW: 54.0047
ID 69 | LCS: 0.9077 | Rank: 36 | DTW: 39.5195
ID 70 | LCS: 0.9438 | Rank:  7 | DTW: 35.5460
ID 71 | LCS: 0.9126 | Rank: 27 | DTW: 33.6322
ID 72 | LCS: 0.9174 | Rank: 16 | DTW: 39.9305
ID 73 | LCS: 0.8278 | Rank: 38 | DTW: 33.0138
ID 74 | LCS: 0.8257 | Rank: 63 | DTW: 49.8400
ID 75 | LCS: 0.8424 | Rank: 42 | DTW: 58.6768
ID 76 | LCS: 0.8536 | Rank: 58 | DTW: 49.3703
ID 77 | LCS: 0.7475 | Rank: 32 | DTW: 42.5099
ID 78 | LCS: 0.7494 | Rank: 65 | DTW: 33.5451
ID 79 | LCS: 0.8764 | Rank: 36 | DTW: 32.1358
ID 80 | LCS: 0.8785 | Rank: 18 | DTW: 25.7243
==================================================
RESUMEN GENERAL:
Pares evaluados: 80
LCS Promedio:    0.8378
MRR:             0.0558
Top-5 Precision: 6.25%
DTW Promedio:    39.0571
==================================================
