REPORTE DETALLADO - METODO: fcn_f0
==================================================
ID 01 | LCS: 0.8517 | Rank: 52 | DTW: 0.0000
ID 02 | LCS: 0.7541 | Rank: 22 | DTW: 0.0000
ID 03 | LCS: 0.9730 | Rank:  8 | DTW: 0.0000
ID 04 | LCS: 0.8152 | Rank: 53 | DTW: 0.0000
ID 05 | LCS: 0.9457 | Rank: 20 | DTW: 0.0000
ID 06 | LCS: 0.4795 | Rank: 59 | DTW: 0.0000
ID 07 | LCS: 0.9220 | Rank: 23 | DTW: 0.0000
ID 08 | LCS: 0.9876 | Rank:  5 | DTW: 0.0000
ID 09 | LCS: 0.8837 | Rank: 35 | DTW: 0.0000
ID 10 | LCS: 0.8969 | Rank: 29 | DTW: 0.0000
ID 11 | LCS: 0.8333 | Rank: 39 | DTW: 0.0000
ID 12 | LCS: 0.9858 | Rank:  7 | DTW: 0.0000
ID 13 | LCS: 0.8410 | Rank: 50 | DTW: 0.0000
ID 14 | LCS: 0.9920 | Rank:  1 | DTW: 0.0000
ID 15 | LCS: 0.7769 | Rank: 57 | DTW: 0.0000
ID 16 | LCS: 0.7500 | Rank: 67 | DTW: 0.0000
ID 17 | LCS: 0.8500 | Rank: 44 | DTW: 0.0000
ID 18 | LCS: 0.9820 | Rank:  9 | DTW: 0.0000
ID 19 | LCS: 0.9076 | Rank: 38 | DTW: 0.0000
ID 20 | LCS: 0.8824 | Rank: 44 | DTW: 0.0000
ID 21 | LCS: 0.7931 | Rank: 45 | DTW: 0.0000
ID 22 | LCS: 0.8984 | Rank: 38 | DTW: 0.0000
ID 23 | LCS: 0.8372 | Rank: 45 | DTW: 0.0000
ID 24 | LCS: 0.8615 | Rank: 44 | DTW: 0.0000
ID 25 | LCS: 0.7162 | Rank: 73 | DTW: 0.0000
ID 26 | LCS: 0.8610 | Rank: 37 | DTW: 0.0000
ID 27 | LCS: 0.9710 | Rank:  9 | DTW: 0.0000
ID 28 | LCS: 0.7895 | Rank: 59 | DTW: 0.0000
ID 29 | LCS: 0.9155 | Rank: 19 | DTW: 0.0000
ID 30 | LCS: 0.8465 | Rank: 56 | DTW: 0.0000
ID 31 | LCS: 1.0000 | Rank:  2 | DTW: 0.0000
ID 32 | LCS: 0.9860 | Rank:  6 | DTW: 0.0000
ID 33 | LCS: 0.7461 | Rank: 64 | DTW: 0.0000
ID 34 | LCS: 0.9270 | Rank: 17 | DTW: 0.0000
ID 35 | LCS: 0.9615 | Rank: 15 | DTW: 0.0000
ID 36 | LCS: 0.8571 | Rank: 21 | DTW: 0.0000
ID 37 | LCS: 0.5172 | Rank: 79 | DTW: 0.0000
ID 38 | LCS: 0.8144 | Rank: 59 | DTW: 0.0000
ID 39 | LCS: 0.9353 | Rank: 27 | DTW: 0.0000
ID 40 | LCS: 0.5000 | Rank: 77 | DTW: 0.0000
ID 41 | LCS: 0.9901 | Rank:  4 | DTW: 0.0000
ID 42 | LCS: 0.8992 | Rank: 36 | DTW: 0.0000
ID 43 | LCS: 0.8989 | Rank: 39 | DTW: 0.0000
ID 44 | LCS: 0.8978 | Rank: 28 | DTW: 0.0000
ID 45 | LCS: 0.9568 | Rank:  6 | DTW: 0.0000
ID 46 | LCS: 0.8137 | Rank: 56 | DTW: 0.0000
ID 47 | LCS: 0.9391 | Rank: 19 | DTW: 0.0000
ID 48 | LCS: 0.9502 | Rank: 17 | DTW: 0.0000
ID 49 | LCS: 0.9686 | Rank: 13 | DTW: 0.0000
ID 50 | LCS: 0.9204 | Rank: 24 | DTW: 0.0000
ID 51 | LCS: 0.7278 | Rank: 68 | DTW: 0.0000
ID 52 | LCS: 0.9940 | Rank:  4 | DTW: 0.0000
