REPORTE DETALLADO - METODO: melodia
==================================================
ID 01 | LCS: 0.8333 | Rank: 48 | DTW: 35.0690
ID 02 | LCS: 0.6364 | Rank: 36 | DTW: 51.0265
ID 03 | LCS: 0.8438 | Rank:  4 | DTW: 47.9454
ID 04 | LCS: 0.6623 | Rank: 35 | DTW: 26.8746
ID 05 | LCS: 0.7792 | Rank: 58 | DTW: 27.1671
ID 06 | LCS: 0.7000 | Rank: 57 | DTW: 71.9688
ID 07 | LCS: 0.7081 | Rank: 72 | DTW: 18.6121
ID 08 | LCS: 0.8839 | Rank: 24 | DTW: 34.7550
ID 09 | LCS: 0.7603 | Rank: 55 | DTW: 19.8722
ID 10 | LCS: 0.9727 | Rank:  5 | DTW: 28.8937
ID 11 | LCS: 0.6582 | Rank: 65 | DTW: 32.9069
ID 12 | LCS: 0.8821 | Rank: 24 | DTW: 18.6781
ID 13 | LCS: 0.7043 | Rank: 66 | DTW: 23.4077
ID 14 | LCS: 0.8977 | Rank: 14 | DTW: 17.1929
ID 15 | LCS: 0.6581 | Rank: 75 | DTW: 29.8087
ID 16 | LCS: 0.8019 | Rank: 57 | DTW: 20.5304
ID 17 | LCS: 0.7876 | Rank: 60 | DTW: 34.5939
ID 18 | LCS: 0.8302 | Rank: 46 | DTW: 21.8797
ID 19 | LCS: 0.8339 | Rank: 43 | DTW: 33.2444
ID 20 | LCS: 0.8955 | Rank: 24 | DTW: 31.8248
ID 21 | LCS: 0.8988 | Rank: 13 | DTW: 29.4317
ID 22 | LCS: 0.7610 | Rank: 37 | DTW: 20.2604
ID 23 | LCS: 0.8269 | Rank: 27 | DTW: 36.7251
ID 24 | LCS: 0.6932 | Rank: 71 | DTW: 19.2156
ID 25 | LCS: 0.6842 | Rank: 74 | DTW: 78.8629
ID 26 | LCS: 0.8559 | Rank: 38 | DTW: 63.5918
ID 27 | LCS: 0.8889 | Rank: 33 | DTW: 17.4876
ID 28 | LCS: 0.9266 | Rank: 15 | DTW: 20.9102
ID 29 | LCS: 0.8148 | Rank: 29 | DTW: 16.8685
ID 30 | LCS: 0.9532 | Rank:  3 | DTW: 56.1420
ID 31 | LCS: 0.5733 | Rank: 79 | DTW: 16.8575
ID 32 | LCS: 0.8458 | Rank: 28 | DTW: 34.6373
