REPORTE DETALLADO - METODO: pyin
==================================================
ID 01 | LCS: 0.7941 | Rank: 31 | DTW: 17.4335
ID 02 | LCS: 0.5833 | Rank: 59 | DTW: 17.1262
ID 03 | LCS: 0.7234 | Rank: 47 | DTW: 13.5974
ID 04 | LCS: 0.6495 | Rank: 59 | DTW: 8.0877
ID 05 | LCS: 0.8128 | Rank: 37 | DTW: 18.1258
ID 06 | LCS: 0.4505 | Rank: 28 | DTW: 26.9854
ID 07 | LCS: 0.8021 | Rank: 48 | DTW: 18.6537
ID 08 | LCS: 0.9196 | Rank:  7 | DTW: 10.1439
ID 09 | LCS: 0.8455 | Rank: 17 | DTW: 13.4644
ID 10 | LCS: 0.9050 | Rank: 14 | DTW: 10.6318
ID 11 | LCS: 0.7871 | Rank: 33 | DTW: 20.1859
ID 12 | LCS: 0.7398 | Rank: 39 | DTW: 21.1629
ID 13 | LCS: 0.8582 | Rank: 30 | DTW: 14.6970
ID 14 | LCS: 0.9054 | Rank:  5 | DTW: 10.3478
ID 15 | LCS: 0.7812 | Rank: 46 | DTW: 9.2006
ID 16 | LCS: 0.7013 | Rank: 59 | DTW: 15.9359
ID 17 | LCS: 0.8990 | Rank: 13 | DTW: 18.9074
ID 18 | LCS: 0.8476 | Rank: 23 | DTW: 11.5514
ID 19 | LCS: 0.8239 | Rank: 28 | DTW: 29.9201
ID 20 | LCS: 0.8273 | Rank: 33 | DTW: 45.7345
ID 21 | LCS: 0.7692 | Rank: 37 | DTW: 37.8528
ID 22 | LCS: 0.6718 | Rank: 65 | DTW: 19.9669
ID 23 | LCS: 0.7738 | Rank: 49 | DTW: 16.1098
ID 24 | LCS: 0.8548 | Rank: 26 | DTW: 24.9061
ID 25 | LCS: 0.9105 | Rank: 10 | DTW: 27.5890
ID 26 | LCS: 0.8873 | Rank: 11 | DTW: 15.5716
ID 27 | LCS: 0.9213 | Rank:  5 | DTW: 8.6388
ID 28 | LCS: 0.8649 | Rank: 24 | DTW: 5.5357
ID 29 | LCS: 0.7419 | Rank: 57 | DTW: 14.4170
ID 30 | LCS: 0.7215 | Rank: 60 | DTW: 49.6591
ID 31 | LCS: 0.8496 | Rank: 26 | DTW: 13.4080
ID 32 | LCS: 0.8436 | Rank: 23 | DTW: 16.6052
ID 33 | LCS: 0.6118 | Rank: 77 | DTW: 42.9298
ID 34 | LCS: 0.8511 | Rank: 21 | DTW: 14.4128
ID 35 | LCS: 0.8384 | Rank: 30 | DTW: 28.0802
ID 36 | LCS: 0.7175 | Rank: 51 | DTW: 38.5086
ID 37 | LCS: 0.5085 | Rank: 79 | DTW: 22.7755
ID 38 | LCS: 0.6545 | Rank: 72 | DTW: 17.0624
ID 39 | LCS: 0.8000 | Rank: 33 | DTW: 16.8691
ID 40 | LCS: 0.7216 | Rank: 63 | DTW: 25.6736
ID 41 | LCS: 0.8774 | Rank: 16 | DTW: 14.4410
ID 42 | LCS: 0.6525 | Rank: 57 | DTW: 19.3340
ID 43 | LCS: 0.6436 | Rank: 68 | DTW: 18.7177
ID 44 | LCS: 0.8410 | Rank: 30 | DTW: 27.3653
ID 45 | LCS: 0.8571 | Rank: 16 | DTW: 17.8727
ID 46 | LCS: 0.5727 | Rank: 64 | DTW: 33.3018
ID 47 | LCS: 0.7193 | Rank: 51 | DTW: 24.1384
ID 48 | LCS: 0.7635 | Rank: 41 | DTW: 22.2674
ID 49 | LCS: 0.7311 | Rank: 44 | DTW: 20.3940
ID 50 | LCS: 0.7349 | Rank: 50 | DTW: 13.3437
ID 51 | LCS: 0.7988 | Rank: 36 | DTW: 10.6286
ID 52 | LCS: 0.8187 | Rank: 40 | DTW: 8.6772
ID 53 | LCS: 0.9219 | Rank:  3 | DTW: 25.1952
ID 54 | LCS: 0.8511 | Rank: 31 | DTW: 18.8137
ID 55 | LCS: 0.8130 | Rank: 31 | DTW: 28.9204
ID 56 | LCS: 0.8952 | Rank: 10 | DTW: 17.7186
ID 57 | LCS: 0.6154 | Rank: 72 | DTW: 29.1310
ID 58 | LCS: 0.8306 | Rank: 25 | DTW: 27.1684
ID 59 | LCS: 0.4624 | Rank: 79 | DTW: 15.5736
ID 60 | LCS: 0.7387 | Rank: 48 | DTW: 31.2397
ID 61 | LCS: 0.7774 | Rank: 41 | DTW: 18.4533
ID 62 | LCS: 0.7081 | Rank: 58 | DTW: 6.5275
ID 63 | LCS: 0.7619 | Rank: 57 | DTW: 9.4792
ID 64 | LCS: 0.7886 | Rank: 54 | DTW: 18.7504
ID 65 | LCS: 0.6813 | Rank: 68 | DTW: 12.7536
ID 66 | LCS: 0.8750 | Rank: 23 | DTW: 43.3054
ID 67 | LCS: 0.6939 | Rank: 65 | DTW: 40.4623
ID 68 | LCS: 0.7939 | Rank: 46 | DTW: 14.4033
ID 69 | LCS: 0.7154 | Rank: 59 | DTW: 17.4539
ID 70 | LCS: 0.7000 | Rank: 46 | DTW: 14.1393
ID 71 | LCS: 0.5895 | Rank: 72 | DTW: 26.6474
ID 72 | LCS: 0.9045 | Rank: 14 | DTW: 16.3194
ID 73 | LCS: 0.8365 | Rank: 27 | DTW: 20.0528
ID 74 | LCS: 0.9183 | Rank:  2 | DTW: 27.2240
ID 75 | LCS: 0.8378 | Rank: 32 | DTW: 24.8659
ID 76 | LCS: 0.8932 | Rank:  9 | DTW: 20.5341
ID 77 | LCS: 0.8743 | Rank: 15 | DTW: 20.4653
ID 78 | LCS: 0.8431 | Rank: 22 | DTW: 11.8378
ID 79 | LCS: 0.7708 | Rank: 51 | DTW: 10.8375
ID 80 | LCS: 0.7692 | Rank: 55 | DTW: 26.0596
==================================================
RESUMEN GENERAL:
Pares evaluados: 80
LCS Promedio:    0.7755
MRR:             0.0482
Top-5 Precision: 5.00%
DTW Promedio:    20.4160
==================================================
