REPORTE DETALLADO - METODO: spice
==================================================
ID 01 | LCS: 0.7756 | Rank: 70 | DTW: 20.3508
ID 02 | LCS: 0.8961 | Rank:  7 | DTW: 33.5370
ID 03 | LCS: 0.7753 | Rank: 43 | DTW: 25.6703
ID 04 | LCS: 0.9226 | Rank: 21 | DTW: 25.0433
ID 05 | LCS: 0.7932 | Rank: 57 | DTW: 19.2192
ID 06 | LCS: 0.9470 | Rank:  5 | DTW: 37.0602
ID 07 | LCS: 0.7000 | Rank: 80 | DTW: 19.9804
ID 08 | LCS: 0.9031 | Rank: 31 | DTW: 31.0995
ID 09 | LCS: 0.9426 | Rank: 13 | DTW: 26.1881
ID 10 | LCS: 0.9551 | Rank: 10 | DTW: 26.2794
ID 11 | LCS: 0.9585 | Rank:  4 | DTW: 24.4490
ID 12 | LCS: 0.8780 | Rank:  4 | DTW: 16.3622
ID 13 | LCS: 0.7113 | Rank: 73 | DTW: 30.0401
ID 14 | LCS: 0.8542 | Rank: 13 | DTW: 21.6487
ID 15 | LCS: 0.8580 | Rank: 57 | DTW: 24.4458
ID 16 | LCS: 0.7925 | Rank: 29 | DTW: 16.7693
ID 17 | LCS: 0.7903 | Rank: 61 | DTW: 31.8562
ID 18 | LCS: 0.8442 | Rank: 34 | DTW: 24.9668
ID 19 | LCS: 0.7159 | Rank: 78 | DTW: 25.1922
ID 20 | LCS: 0.8650 | Rank: 33 | DTW: 33.0081
ID 21 | LCS: 0.9040 | Rank:  1 | DTW: 22.2558
ID 22 | LCS: 0.6649 | Rank: 61 | DTW: 18.8584
ID 23 | LCS: 0.8191 | Rank:  5 | DTW: 26.7254
ID 24 | LCS: 0.8968 | Rank:  6 | DTW: 16.6071
ID 25 | LCS: 0.8381 | Rank: 36 | DTW: 19.6449
ID 26 | LCS: 0.8209 | Rank: 54 | DTW: 24.1280
ID 27 | LCS: 0.9309 | Rank:  7 | DTW: 19.2540
ID 28 | LCS: 0.9199 | Rank: 32 | DTW: 22.6784
ID 29 | LCS: 0.7169 | Rank: 66 | DTW: 27.2946
ID 30 | LCS: 0.6763 | Rank: 75 | DTW: 33.6583
ID 31 | LCS: 0.7049 | Rank: 59 | DTW: 23.6864
ID 32 | LCS: 0.8119 | Rank: 40 | DTW: 22.0783
ID 33 | LCS: 0.7335 | Rank: 78 | DTW: 27.6020
ID 34 | LCS: 0.8746 | Rank: 19 | DTW: 16.3227
ID 35 | LCS: 0.7507 | Rank: 62 | DTW: 21.2102
ID 36 | LCS: 0.5854 | Rank: 79 | DTW: 25.4584
ID 37 | LCS: 0.8795 | Rank: 19 | DTW: 29.9119
ID 38 | LCS: 0.8086 | Rank: 69 | DTW: 21.8992
ID 39 | LCS: 0.7855 | Rank: 15 | DTW: 27.6254
ID 40 | LCS: 0.9191 | Rank:  1 | DTW: 22.3645
ID 41 | LCS: 0.9097 | Rank: 10 | DTW: 24.4869
ID 42 | LCS: 0.8177 | Rank: 65 | DTW: 25.9667
ID 43 | LCS: 0.9348 | Rank: 17 | DTW: 31.0714
ID 44 | LCS: 0.7606 | Rank: 69 | DTW: 26.4459
ID 45 | LCS: 0.9386 | Rank:  1 | DTW: 26.4370
ID 46 | LCS: 0.6837 | Rank: 37 | DTW: 31.9204
ID 47 | LCS: 0.9020 | Rank: 19 | DTW: 27.2772
ID 48 | LCS: 0.9262 | Rank: 25 | DTW: 26.7123
ID 49 | LCS: 0.8227 | Rank:  3 | DTW: 25.7259
ID 50 | LCS: 0.8105 | Rank: 61 | DTW: 36.0187
ID 51 | LCS: 0.8163 | Rank: 66 | DTW: 23.5563
ID 52 | LCS: 0.9393 | Rank:  4 | DTW: 18.2835
ID 53 | LCS: 0.9214 | Rank: 18 | DTW: 30.2296
ID 54 | LCS: 0.8367 | Rank: 60 | DTW: 21.4062
ID 55 | LCS: 0.8396 | Rank: 55 | DTW: 24.4966
ID 56 | LCS: 0.8287 | Rank: 22 | DTW: 16.6551
ID 57 | LCS: 0.8249 | Rank: 46 | DTW: 42.8835
ID 58 | LCS: 0.8443 | Rank:  5 | DTW: 25.4589
ID 59 | LCS: 0.8295 | Rank: 63 | DTW: 26.6978
ID 60 | LCS: 0.8085 | Rank: 49 | DTW: 22.4518
ID 61 | LCS: 0.7574 | Rank: 76 | DTW: 20.8753
ID 62 | LCS: 0.6872 | Rank: 75 | DTW: 22.5640
ID 63 | LCS: 0.8806 | Rank: 46 | DTW: 15.5872
ID 64 | LCS: 0.9188 | Rank: 25 | DTW: 27.7908
ID 65 | LCS: 0.8286 | Rank: 34 | DTW: 24.5557
ID 66 | LCS: 0.7514 | Rank: 64 | DTW: 25.1238
ID 67 | LCS: 0.8908 | Rank: 38 | DTW: 32.4409
ID 68 | LCS: 0.9375 | Rank: 20 | DTW: 30.8053
ID 69 | LCS: 0.9135 | Rank: 30 | DTW: 26.3873
ID 70 | LCS: 0.9443 | Rank:  5 | DTW: 19.8276
ID 71 | LCS: 0.9317 | Rank:  6 | DTW: 24.1349
ID 72 | LCS: 0.9244 | Rank: 18 | DTW: 28.0527
ID 73 | LCS: 0.8411 | Rank:  3 | DTW: 21.7901
ID 74 | LCS: 0.9189 | Rank: 11 | DTW: 37.4019
ID 75 | LCS: 0.8579 | Rank: 40 | DTW: 48.0130
ID 76 | LCS: 0.7810 | Rank: 71 | DTW: 29.9868
ID 77 | LCS: 0.7554 | Rank: 23 | DTW: 24.3274
ID 78 | LCS: 0.7406 | Rank: 75 | DTW: 21.8838
ID 79 | LCS: 0.8768 | Rank: 26 | DTW: 19.0439
ID 80 | LCS: 0.8209 | Rank: 45 | DTW: 16.9605
==================================================
RESUMEN GENERAL:
Pares evaluados: 80
LCS Promedio:    0.8359
MRR:             0.0983
Top-5 Precision: 15.00%
DTW Promedio:    25.4271
==================================================
