REPORTE DETALLADO - METODO: yin
==================================================
ID 01 | LCS: 0.8090 | Rank: 60 | DTW: 28.8377
ID 02 | LCS: 0.6055 | Rank: 21 | DTW: 32.9624
ID 03 | LCS: 0.8333 | Rank: 14 | DTW: 24.8833
ID 04 | LCS: 0.6953 | Rank: 38 | DTW: 18.8123
ID 05 | LCS: 0.8185 | Rank: 61 | DTW: 29.1253
ID 06 | LCS: 0.6400 | Rank: 24 | DTW: 47.2057
ID 07 | LCS: 0.8000 | Rank: 67 | DTW: 25.7036
ID 08 | LCS: 0.9415 | Rank:  3 | DTW: 30.6022
ID 09 | LCS: 0.9440 | Rank:  7 | DTW: 24.8493
ID 10 | LCS: 0.9072 | Rank: 39 | DTW: 33.2640
ID 11 | LCS: 0.9292 | Rank: 19 | DTW: 21.5983
ID 12 | LCS: 0.8869 | Rank: 39 | DTW: 29.7380
ID 13 | LCS: 0.7487 | Rank: 66 | DTW: 27.1374
ID 14 | LCS: 0.8418 | Rank: 20 | DTW: 38.0507
ID 15 | LCS: 0.9377 | Rank:  4 | DTW: 31.8368
ID 16 | LCS: 0.8421 | Rank: 21 | DTW: 19.8782
ID 17 | LCS: 0.8329 | Rank: 57 | DTW: 30.3991
ID 18 | LCS: 0.8267 | Rank: 59 | DTW: 28.8329
ID 19 | LCS: 0.8138 | Rank: 65 | DTW: 26.7813
ID 20 | LCS: 0.8878 | Rank: 26 | DTW: 40.6503
ID 21 | LCS: 0.8798 | Rank: 46 | DTW: 26.3180
ID 22 | LCS: 0.7934 | Rank: 48 | DTW: 22.9884
ID 23 | LCS: 0.8974 | Rank: 13 | DTW: 23.2036
ID 24 | LCS: 0.7798 | Rank: 77 | DTW: 26.7213
ID 25 | LCS: 0.9384 | Rank: 27 | DTW: 22.1629
ID 26 | LCS: 0.8413 | Rank: 59 | DTW: 27.0193
ID 27 | LCS: 0.9548 | Rank: 13 | DTW: 20.6053
ID 28 | LCS: 0.9531 | Rank: 15 | DTW: 18.5546
ID 29 | LCS: 0.8216 | Rank: 57 | DTW: 23.8284
ID 30 | LCS: 0.9185 | Rank: 33 | DTW: 41.8278
ID 31 | LCS: 0.8254 | Rank: 30 | DTW: 23.2999
ID 32 | LCS: 0.8208 | Rank: 63 | DTW: 31.7750
ID 33 | LCS: 0.8889 | Rank: 43 | DTW: 27.1222
ID 34 | LCS: 0.8608 | Rank: 51 | DTW: 22.5297
ID 35 | LCS: 0.8354 | Rank: 39 | DTW: 27.0956
ID 36 | LCS: 0.7187 | Rank: 79 | DTW: 33.5105
ID 37 | LCS: 0.8193 | Rank: 64 | DTW: 29.7721
ID 38 | LCS: 0.8551 | Rank: 56 | DTW: 34.2207
ID 39 | LCS: 0.8135 | Rank: 16 | DTW: 31.2898
ID 40 | LCS: 0.6239 | Rank: 80 | DTW: 27.6767
